,Air Temperature,Wet Bulb Temperature,Humidity,Total Rain,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,hour,day_of_week,month,year,is_weekend,wind_speed_rolling_7h,humidity_rolling_24h
Air Temperature,1.0,0.828319862338402,0.00849018944946138,0.38396843198859626,-0.10325988656483466,-0.23526820726373385,-0.1293074373847945,-0.24699736875239078,0.21839489527451275,0.001269558401638414,-0.07471282580779612,0.06289012021009119,-0.021411780914693784,0.26677761067026,-0.013164041987955562,-0.013105828614330347,-0.31155535254660066,0.05339564320214971
Wet Bulb Temperature,0.828319862338402,1.0,0.14050935558403807,0.3946057869622791,-0.12406817867489596,-0.1633129039189266,-0.12390695579345518,-0.21807579406334007,0.16821833115035456,0.050245241192759436,-0.003342065020673667,0.0325846008703874,-0.01504804865106031,0.2319103303294583,-0.025492969747416664,-0.011263673633679154,-0.2500763625649029,0.16263891177676298
Humidity,0.00849018944946138,0.14050935558403807,1.0,0.08880507526966111,-0.13797972190390148,0.006657792798667532,0.06661507426667045,-0.1884980541041338,-0.14878020355027854,-0.0276257213940843,-0.1466797788513917,-0.11731118229747735,-0.0041602850852110185,-0.02163568213847981,-0.10026453465451607,-0.013506261526936382,-0.020460458282632887,0.8190387803366102
Total Rain,0.38396843198859626,0.3946057869622791,0.08880507526966111,1.0,0.03253040707247817,-0.07349003417668495,0.0066109965752968415,-0.008899746253822694,0.05390034734451308,-0.07270380004251824,-0.027848933125741594,-6.747275830702348e-06,-0.0006470750722183111,0.2255374694014829,-0.23706806440786807,-0.001879064766325598,-0.16378310538130925,0.08063237310548746
Wind Direction,-0.10325988656483466,-0.12406817867489596,-0.13797972190390148,0.03253040707247817,1.0,-0.11595875484607072,0.3784715412885191,-0.04105857455414699,-0.1518693194997145,-0.10418755494969048,-0.2994579817248054,-0.072001866713463,-0.011081205912370131,0.023780274142585177,-0.3356738452381085,-0.00903788540611119,-0.020573867015871466,-0.14222502198583165
Wind Speed,-0.23526820726373385,-0.1633129039189266,0.006657792798667532,-0.07349003417668495,-0.11595875484607072,1.0,0.5967317922207639,-0.07118083518752737,0.053039991232758585,0.10719549850043211,0.18910144444308588,0.03109740228740276,0.00938424673324426,-0.08051123840059872,-0.018618689732430287,-0.005463012833229519,0.727031873228196,0.017758270993359904
Maximum Wind Speed,-0.1293074373847945,-0.12390695579345518,0.06661507426667045,0.0066109965752968415,0.3784715412885191,0.5967317922207639,1.0,-0.053105377574264465,0.0071119794995661125,-0.12240124344354023,-0.469593395846209,0.021253501597828742,0.0025498310616004186,-0.04719949517422742,-0.34444745849234687,-0.007048850811232902,0.5678418569020426,0.02570480124469565
Barometric Pressure,-0.24699736875239078,-0.21807579406334007,-0.1884980541041338,-0.008899746253822694,-0.04105857455414699,-0.07118083518752737,-0.053105377574264465,1.0,0.06209344640732636,-0.0018674085614221246,-0.07346017987413533,-0.012164198532163389,0.04342855611753669,0.05000089358102716,0.024250801297981375,0.04224256845974251,-0.060301983712761784,-0.2056472148206681
Solar Radiation,0.21839489527451275,0.16821833115035456,-0.14878020355027854,0.05390034734451308,-0.1518693194997145,0.053039991232758585,0.0071119794995661125,0.06209344640732636,1.0,-0.03329655436669614,-0.11204251915604503,0.0874102716326846,0.0013003862404056398,-0.02620782924855501,0.08258227317722583,0.005380044944805576,0.015622124131063808,-0.006186790610653786
Heading,0.001269558401638414,0.050245241192759436,-0.0276257213940843,-0.07270380004251824,-0.10418755494969048,0.10719549850043211,-0.12240124344354023,-0.0018674085614221246,-0.03329655436669614,1.0,0.2890850228727334,-0.003487908473029648,0.002545514609800444,0.022275200607049645,0.4652636181392867,0.002539660483703696,0.003080684825948705,-0.03817988175472187
Battery Life,-0.07471282580779612,-0.003342065020673667,-0.1466797788513917,-0.027848933125741594,-0.2994579817248054,0.18910144444308588,-0.469593395846209,-0.07346017987413533,-0.11204251915604503,0.2890850228727334,1.0,0.001933262964996933,0.0004914256295299597,-0.005151021865048082,0.0978420475442288,0.00026373757767018155,0.039773799002990065,-0.01894397888476125
hour,0.06289012021009119,0.0325846008703874,-0.11731118229747735,-6.747275830702348e-06,-0.072001866713463,0.03109740228740276,0.021253501597828742,-0.012164198532163389,0.0874102716326846,-0.003487908473029648,0.001933262964996933,1.0,0.006070232587974455,-0.001042251462466866,-0.004658725943624094,0.005640205310991971,0.07192244664434748,-0.07202955829475942
day_of_week,-0.021411780914693784,-0.01504804865106031,-0.0041602850852110185,-0.0006470750722183111,-0.011081205912370131,0.00938424673324426,0.0025498310616004186,0.04342855611753669,0.0013003862404056398,0.002545514609800444,0.0004914256295299597,0.006070232587974455,1.0,0.0010563994661754485,0.0028301243420383896,0.787452039076296,0.013945611107899283,-0.002026547484436253
month,0.26677761067026,0.2319103303294583,-0.02163568213847981,0.2255374694014829,0.023780274142585177,-0.08051123840059872,-0.04719949517422742,0.05000089358102716,-0.02620782924855501,0.022275200607049645,-0.005151021865048082,-0.001042251462466866,0.0010563994661754485,1.0,-0.07819698519081579,0.0003189542109174557,-0.11195116119645514,-0.02550711097272455
year,-0.013164041987955562,-0.025492969747416664,-0.10026453465451607,-0.23706806440786807,-0.3356738452381085,-0.018618689732430287,-0.34444745849234687,0.024250801297981375,0.08258227317722583,0.4652636181392867,0.0978420475442288,-0.004658725943624094,0.0028301243420383896,-0.07819698519081579,1.0,0.0035570466269647153,-0.025941487376947795,-0.11301613200662775
is_weekend,-0.013105828614330347,-0.011263673633679154,-0.013506261526936382,-0.001879064766325598,-0.00903788540611119,-0.005463012833229519,-0.007048850811232902,0.04224256845974251,0.005380044944805576,0.002539660483703696,0.00026373757767018155,0.005640205310991971,0.787452039076296,0.0003189542109174557,0.0035570466269647153,1.0,-0.00558317853424259,-0.014579990044348635
wind_speed_rolling_7h,-0.31155535254660066,-0.2500763625649029,-0.020460458282632887,-0.16378310538130925,-0.020573867015871466,0.727031873228196,0.5678418569020426,-0.060301983712761784,0.015622124131063808,0.003080684825948705,0.039773799002990065,0.07192244664434748,0.013945611107899283,-0.11195116119645514,-0.025941487376947795,-0.00558317853424259,1.0,0.015632039508131926
humidity_rolling_24h,0.05339564320214971,0.16263891177676298,0.8190387803366102,0.08063237310548746,-0.14222502198583165,0.017758270993359904,0.02570480124469565,-0.2056472148206681,-0.006186790610653786,-0.03817988175472187,-0.01894397888476125,-0.07202955829475942,-0.002026547484436253,-0.02550711097272455,-0.11301613200662775,-0.014579990044348635,0.015632039508131926,1.0
