feature,importance
Wet Bulb Temperature,0.36721304434457613
month,0.3084829719597155
Total Rain,0.10192375643993554
Battery Life,0.064702963396175
Barometric Pressure,0.049362771154834006
Solar Radiation,0.02307931525579652
Humidity,0.019394832014818775
Wind Direction,0.018484302325734205
year,0.01608067845892721
Wind Speed,0.011764971745710139
Heading,0.008858793144733808
Maximum Wind Speed,0.00588038733504905
hour,0.002608180117410144
day_of_week,0.0017683307850139562
is_weekend,0.00039470152156996833
Interval Rain,0.0
Rain Intensity,0.0
